"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34743","test_28_adding_a_product_to_the_shopping_cart[chromium]","tests","Wed Jul 30 20:38:52 GMT 2025","broken","Wed Jul 30 20:39:27 GMT 2025","TestCart","test_cart","",""
"","30507","test_14_change_language_button_in_registration[chromium]","tests","Wed Jul 30 20:35:34 GMT 2025","broken","Wed Jul 30 20:36:05 GMT 2025","TestLoginAsNewUser","test_as_new_user","",""
"","30506","test_22_reset_password_options[chromium]","tests","Wed Jul 30 20:46:17 GMT 2025","broken","Wed Jul 30 20:46:48 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","4955","test_29_add_favorite_items[chromium]","tests","Wed Jul 30 20:39:31 GMT 2025","passed","Wed Jul 30 20:39:36 GMT 2025","TestFavourites","test_favourites","",""
"","6784","test_30_remove_favorite_items[chromium]","tests","Wed Jul 30 20:39:39 GMT 2025","passed","Wed Jul 30 20:39:46 GMT 2025","TestFavourites","test_favourites","",""
"","7591","test_31_moving_a_product_from_favorites_to_cart[chromium]","tests","Wed Jul 30 20:39:50 GMT 2025","passed","Wed Jul 30 20:39:57 GMT 2025","TestFavourites","test_favourites","",""
"","35033","test_27_saved_items_after_exit[chromium]","tests","Wed Jul 30 20:38:13 GMT 2025","broken","Wed Jul 30 20:38:48 GMT 2025","TestCart","test_cart","",""
"","30509","test_10_registration_new_user[chromium]","tests","Wed Jul 30 20:33:14 GMT 2025","broken","Wed Jul 30 20:33:44 GMT 2025","TestLoginAsNewUser","test_as_new_user","",""
"","30507","test_12_registration_with_2_character_password[chromium]","tests","Wed Jul 30 20:34:24 GMT 2025","broken","Wed Jul 30 20:34:54 GMT 2025","TestLoginAsNewUser","test_as_new_user","",""
"","30504","test_17_error_alert_incorrect_email[chromium]","tests","Wed Jul 30 20:43:19 GMT 2025","broken","Wed Jul 30 20:43:49 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","30506","test_19_change_language_button_in_login[chromium]","tests","Wed Jul 30 20:44:32 GMT 2025","broken","Wed Jul 30 20:45:02 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","30506","test_15_login_to_user[chromium]","tests","Wed Jul 30 20:42:03 GMT 2025","broken","Wed Jul 30 20:42:34 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","4035","test_01_open_home_page[chromium]","tests","Wed Jul 30 20:40:38 GMT 2025","passed","Wed Jul 30 20:40:42 GMT 2025","TestHomePage","test_homepage","",""
"","35389","test_16_error_alert_incorrect_password[chromium]","tests","Wed Jul 30 20:42:38 GMT 2025","broken","Wed Jul 30 20:43:14 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","37268","test_32_number_of_products_in_favorites[chromium]","tests","Wed Jul 30 20:40:01 GMT 2025","broken","Wed Jul 30 20:40:38 GMT 2025","TestFavourites","test_favourites","",""
"","30504","test_13_registration_numbers_in_name[chromium]","tests","Wed Jul 30 20:34:58 GMT 2025","broken","Wed Jul 30 20:35:29 GMT 2025","TestLoginAsNewUser","test_as_new_user","",""
"","30505","test_20_show_button[chromium]","tests","Wed Jul 30 20:45:08 GMT 2025","broken","Wed Jul 30 20:45:38 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","36886","test_26_remove_items_in_cart[chromium]","tests","Wed Jul 30 20:37:32 GMT 2025","broken","Wed Jul 30 20:38:09 GMT 2025","TestCart","test_cart","",""
"","7325","test_04_clicking_on_the_main_logo_to_connect_the_home_page[chromium]","tests","Wed Jul 30 20:41:53 GMT 2025","passed","Wed Jul 30 20:42:00 GMT 2025","TestHomePage","test_homepage","",""
"","30505","test_18_error_alert_incorrect_email_and_password[chromium]","tests","Wed Jul 30 20:43:55 GMT 2025","broken","Wed Jul 30 20:44:26 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","36875","test_24_purchase_purchase_an_item_cart[chromium]","tests","Wed Jul 30 20:36:09 GMT 2025","broken","Wed Jul 30 20:36:46 GMT 2025","TestCart","test_cart","",""
"","35736","test_25_amount_of_items_cart_visibility[chromium]","tests","Wed Jul 30 20:36:52 GMT 2025","broken","Wed Jul 30 20:37:28 GMT 2025","TestCart","test_cart","",""
"","30508","test_11_registration_with_invalid_email[chromium]","tests","Wed Jul 30 20:33:49 GMT 2025","broken","Wed Jul 30 20:34:20 GMT 2025","TestLoginAsNewUser","test_as_new_user","",""
"","34358","test_02_change_language_button_in_home_page[chromium]","tests","Wed Jul 30 20:40:43 GMT 2025","broken","Wed Jul 30 20:41:17 GMT 2025","TestHomePage","test_homepage","",""
"","34925","test_03_saving_data_after_exit[chromium]","tests","Wed Jul 30 20:41:17 GMT 2025","broken","Wed Jul 30 20:41:52 GMT 2025","TestHomePage","test_homepage","",""
"","30506","test_21_forgetYourPassword_button[chromium]","tests","Wed Jul 30 20:45:42 GMT 2025","broken","Wed Jul 30 20:46:13 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
